Title,Author,Availability,Genre,Old Price,Cover Image URL,Koala Shop Price,Antoine Shop Price,The Circle Bookshop Price
"Say It Well (find Your Voice, Speak Your Mind, Inspire Any Audience)",Not Available,Out of stock,Self Help,,,,$ 24.72,
Today Is Going To Be A Great Day Page-a-day® Calendar 2025 (365 Days Of Words To Inspire And Art To Keep),Not Available,Out of stock,Self Help,,,,$ 19.74,
Breaking Bias (where Stereotypes And Prejudices Come From – And The Science-backed Method To Unravel Them),Not Available,Out of stock,Self Help,,,,$ 19.64,
Let It Settle (daily Habits To Move You From Chaos To Calm),Not Available,Out of stock,Self Help,,,,$ 30.80,
Mary Engelbreit's Live Like You Mean It 2025 Day-to-day Calendar,Not Available,Out of stock,Self Help,,,,$ 27.03,
Meditations For Mortals (four Weeks To Embrace Your Limitations And Finally Make Time For What Counts),Not Available,Out of stock,Self Help,,,,$ 19.64,
Find Your Confidence (the No-nonsense Guide To Self-belief),Not Available,Out of stock,Self Help,,,,$ 24.48,
Hope For Cynics (the Surprising Science Of Human Goodness),Not Available,Out of stock,Self Help,,,,$ 22.26,
Top 50 Rules Of Investing (an Engaging And Thoughtful Guide Down The Path Of Successful Investing Practices),Not Available,Out of stock,Self Help,,,,$ 21.95,
A Therapeutic Journey (lessons From The School Of Life),Not Available,Out of stock,Self Help,,,,$ 15.84,
The Gift Of Anxiety (harnessing The Ease Method To Turn Stuck Anxiety Into Your Greatest Ally),Not Available,Out of stock,Self Help,,,,$ 27.30,
Law Of Attraction (manifest Your Perfect Life),Not Available,Out of stock,Self Help,,,,$ 14.15,
How To Think Like A Poet (the Poets That Made Our World And Why We Need Them),Not Available,Out of stock,Self Help,,,,$ 19.64,
The Dose Effect,Not Available,Out of stock,Self Help,,,,$ 24.48,
The Art Of Danish Living (how To Find Happiness In And Out Of Work),Not Available,Out of stock,Self Help,,,,$ 27.37,
Dreams Of Awakening (revised Edition) (use Lucid Dreaming To Rewire Your Brain While You Sleep),Not Available,Out of stock,Self Help,,,,$ 19.64,
Range (how Generalists Triumph In A Specialized World),Not Available,Out of stock,Self Help,,,,$ 14.40,
Life Is An Upward Spiral (the Human-centric Path For Personal Growth),Not Available,Out of stock,Self Help,,,,$ 39.71,
The Hummus Strategy,Not Available,Out of stock,Self Help,,,,$ 18.00,
What Happy Teachers Do (the Three-step Self-care System To Support You Inside And Outside The Classroom),Not Available,Out of stock,Self Help,,,,$ 17.02,
"The New Menopause (navigating Your Path Through Hormonal Change With Purpose, Power And The Facts)",Not Available,Out of stock,Self Help,,,,$ 26.20,
Wired For Love (how Understanding Your Partner's Brain And Attachment Style Can Help You Defuse Conflict And Build A Secure Relationship),Not Available,Out of stock,Self Help,,,,$ 23.04,
Job Therapy (finding Work That Works For You),Not Available,Out of stock,Self Help,,,,$ 21.50,
I Hate Job Interviews (stop Stressing. Start Performing. Get The Job You Want.),Not Available,Out of stock,Self Help,,,,$ 19.99,
The Stoic Path To Wealth (ancient Wisdom For Enduring Prosperity),Not Available,Out of stock,Self Help,,,,$ 22.26,
"How To Heal After Narcissistic Abuse (a Practical Guide To Dismantling Shame, Healing Trauma, And Thriving After Toxic Relationships)",Not Available,Out of stock,Self Help,,,,$ 18.72,
Real Estate Investing Made Simple (your Guide To Building And Growing Wealth),Not Available,Out of stock,Self Help,,,,$ 26.40,
The Joy Of Actually Giving A F*ck (how Kindness Can Cure Stress And Make You Happy),Not Available,Out of stock,Self Help,,,,$ 17.02,
"The Secret Language Of The Body (regulate Your Nervous System, Heal Your Body, Free Your Mind)",Not Available,Out of stock,Self Help,,,,$ 19.99,
Never Enough (from Barista To Billionaire),Not Available,Out of stock,Self Help,,,,$ 30.00,
Clear Thinking (the Art And Science Of Making Better Decisions),Not Available,Out of stock,Self Help,,,,$ 15.84,
"Positive Thinking Workbook For Women (invite More Self-love, Self-care, And Self-confidence Into Your Life)",Not Available,Out of stock,Self Help,,,,$ 15.99,
"The Quick-start Guide To Investing (learn How To Invest Simpler, Smarter And Sooner)",Not Available,Out of stock,Self Help,,,,$ 25.00,
The Power Of Saying No (the New Science Of How To Say No That Puts You In Charge Of Your Life),Not Available,Out of stock,Self Help,,,,$ 17.99,
The Secret To Getting Along (and Why It's Easier Than You Think) (3 Steps To Life-changing Conflict Resolution),Not Available,Out of stock,Self Help,,,,$ 16.99,
"How To Stop Breaking Your Own Heart (the Sunday Times Bestseller. Stop People-pleasing, Set Boundaries, And Heal From Self-sabotage)",Not Available,Out of stock,Self Help,,,,$ 17.02,
Really Very Crunchy (a Beginner's Guide To Removing Toxins From Your Life Without Adding Them To Your Personality),Not Available,Out of stock,Self Help,,,,$ 19.99,
Curiosity,Not Available,Out of stock,Self Help,,,,$ 21.99,
"The Art And Science Of Connection (why Social Health Is The Missing Key To Living Longer, Healthier, And Happier)",Not Available,Out of stock,Self Help,,,,$ 19.64,
Critical Thinking Skills For Dummies,Not Available,Out of stock,Self Help,,,,$ 21.99,
"Sensitive (the Hidden Power Of The Highly Sensitive Person In A Loud, Fast, Too-much World)",Not Available,Out of stock,Self Help,,,,$ 17.99,
"Right Thing, Right Now (good Values. Good Character. Good Deeds.)",Not Available,Out of stock,Self Help,,,,$ 20.95,
The Inner Game Of Tennis (the Classic Guide To The Mental Side Of Peak Performance),Not Available,Out of stock,Self Help,,,,$ 15.84,
The Laws Of Connection (13 Social Strategies That Will Transform Your Life),Not Available,Out of stock,Self Help,,,,$ 22.26,
The Psychology Book (big Ideas Simply Explained),Not Available,Out of stock,Self Help,,,,$ 28.81,
How Leaders Learn (master The Habits Of The World's Most Successful People),Not Available,Out of stock,Self Help,,,,$ 32.00,
How To Make Money (an Ancient Guide To Wealth Management),Not Available,Out of stock,Self Help,,,,$ 17.95,
The Emotional Intelligence Skills Workbook (improve Communication And Build Stronger Relationships),Not Available,Out of stock,Self Help,,,,$ 28.82,
The Key To Positivity (why You’ve Got The Comfort Zone All Wrong – And How To Tap Its Power To Live Your Best Life Now),Not Available,Out of stock,Self Help,,,,$ 21.60,
The Art Of Explanation (how To Communicate With Clarity And Confidence),Not Available,Out of stock,Self Help,,,,$ 15.84,
"The Power Of Words (how To Speak, Listen And Think Better)",Not Available,Out of stock,Self Help,,,,$ 22.26,
"Game Plan (a Proven Approach To Work, Live, And Play At The Highest Level Possible--for As Long As Possible)",Not Available,Out of stock,Self Help,,,,$ 29.99,
"If You Live To 100, You Might As Well Be Happy (lessons For A Long And Joyful Life: The Korean Bestseller)",Not Available,Out of stock,Self Help,,,,$ 22.26,
"Reclaim Your Nervous System (a Guide To Positive Change, Mental Wellness And Post-traumatic Growth)",Not Available,Out of stock,Self Help,,,,$ 19.64,
"Authenticity, Identity, And Being Yourself At Work (hbr Work Smart Series)",Not Available,Out of stock,Self Help,,,,$ 22.00,
Mindful Places To Stay (sublime Destinations For Yoga And Meditation),Not Available,Out of stock,Self Help,,,,$ 50.44,
"Experience, Opportunity, And Developing Your Career-hbr Work Smart Series",Not Available,Out of stock,Self Help,,,,$ 22.00,
"Boundaries, Priorities, And Finding Work-life Balance-hbr Work Smart Series",Not Available,Out of stock,Self Help,,,,$ 22.00,
"Bosses, Coworkers, And Building Great Work Relationships-hbr Work Smart Series",Not Available,Out of stock,Self Help,,,,$ 22.00,
Mind Magic (the Neuroscience Of Manifestation And How It Changes Everything),Not Available,Out of stock,Self Help,,,,$ 24.59,
"Rewire : Break The Cycle, Alter Your Thoughts And Create Lasting Change",Not Available,Out of stock,Self Help,,,,$ 22.26,
"Think This, Not That (12 Mindshifts To Breakthrough Limiting Beliefs And Become Who You Were Born To Be)",Not Available,Out of stock,Self Help,,,,$ 30.00,
The Courage To Be Disliked (the Japanese Phenomenon That Shows You How To Change Your Life And Achieve Real Happiness),Not Available,Out of stock,Self Help,,,,$ 20.89,
The Courage To Be Happy (discover The Power Of Positive Psychology And Choose Happiness Every Day),Not Available,Out of stock,Self Help,,,,$ 20.89,
Brighter Than A Thousand Suns,Not Available,Out of stock,Self Help,,,,Not Available,
The Human Mind (a Brief Tour Of Everything We Know),Not Available,Out of stock,Self Help,,,,$ 19.77,
Personal Boundaries For Dummies,Not Available,Out of stock,Self Help,,,,$ 24.99,
"The Cq Edge (how To Ignite Confidence, Eliminate Anxiety And Maximize Your Communication Intelligence)",Not Available,Out of stock,Self Help,,,,$ 29.99,
"Radical Confidence (11 Lessons On How To Get The Relationship, Career, And Life You Want)",Not Available,Out of stock,Self Help,,,,$ 20.89,
Things No One Taught Us About Love (how To Build Healthy Relationships With Yourself And Others),Not Available,Out of stock,Self Help,,,,$ 16.56,
"Shaolin: How To Win Without Conflict (the Ancient Chinese Path To Peace, Clarity And Inner Strength)",Not Available,Out of stock,Self Help,,,,$ 19.64,
The Well-lived Life (a 102-year-old Doctor's Six Secrets To Health And Happiness At Every Age),Not Available,Out of stock,Self Help,,,,$ 15.84,
Upgrade Your Brain (unlock Your Life’s Full Potential),Not Available,Out of stock,Self Help,,,,$ 22.26,
The Algebra Of Wealth (a Simple Formula For Success),Not Available,Out of stock,Self Help,,,,$ 22.26,
"Love Life (how To Raise Your Standards, Find Your Person And Live Happily (no Matter What))",Not Available,Out of stock,Self Help,,,,$ 22.26,
"Love Life (how To Raise Your Standards, Find Your Person, And Live Happily (no Matter What))",Not Available,Out of stock,Self Help,,,,$ 28.99,
Hbr's 10 Must Reads On Strengthening Your Soft Skills,Not Available,Out of stock,Self Help,,,,$ 24.95,
The Light We Carry (overcoming In Uncertain Times),Not Available,Out of stock,Self Help,,,,$ 19.99,
"Influence (understand It, Use It, Resist It)",Not Available,Out of stock,Self Help,,,,$ 22.26,
Mind Your Manners (an Insider's Guide To Social Fluency),Not Available,Out of stock,Self Help,,,,$ 19.64,
A Little History Of Psychology,Not Available,Out of stock,Self Help,,,,$ 26.00,
The Stoic Mindset (living The Ten Principles Of Stoicism),Not Available,Out of stock,Self Help,,,,$ 22.00,
"The Myth Of Normal (illness, Health & Healing In A Toxic Culture)",Not Available,Out of stock,Self Help,,,,$ 16.56,
Linchpin (are You Indispensable? How To Drive Your Career And Create A Remarkable Future),Not Available,Out of stock,Self Help,,,,$ 14.40,
"Two Weeks Notice (find The Courage To Quit Your Job, Make More Money, Work Where You Want And Change The World)",Not Available,Out of stock,Self Help,,,,$ 19.64,
"Take Charge Of Your Life (unlocking Influence, Wealth, And Power)",Not Available,Out of stock,Self Help,,,,$ 35.02,
The Stress-proof Brain Guided Journal (writing Practices To Rewire Your Emotional Response To Stress And Feel Calm),Not Available,Out of stock,Self Help,,,,$ 22.26,
Career Forward (strategies From Women Who've Made It),Not Available,Out of stock,Self Help,,,,$ 18.00,
Kind Words For Unkind Days (a Guide To Surviving And Thriving In Difficult Times),Not Available,Out of stock,Self Help,,,,$ 15.84,
How To Make A Few Billion Dollars,Not Available,Out of stock,Self Help,,,,$ 34.25,
"Unlearning Silence (how To Speak Your Mind, Unleash Talent And Lead With Courage)",Not Available,Out of stock,Self Help,,,,$ 22.26,
The Mind-body Method (how Moving Your Body Can Stop You Losing Your Mind),Not Available,Out of stock,Self Help,,,,$ 22.26,
Leveling Up (12 Questions To Elevate Your Personal And Professional Development),Not Available,Out of stock,Self Help,,,,$ 19.99,
"Unlearning Silence (how To Speak Your Mind, Unleash Talent, And Live More Fully)",Not Available,Out of stock,Self Help,,,,$ 21.00,
Your Big Leap Year (a Year To Manifest Your Next-level Life...starting Today!),Not Available,Out of stock,Self Help,,,,$ 20.00,
Why We Remember (the Science Of Memory And How It Shapes Us),Not Available,Out of stock,Self Help,,,,$ 19.64,
Stfu (the Power Of Keeping Your Mouth Shut In An Endlessly Noisy World),Not Available,Out of stock,Self Help,,,,$ 14.40,
Coach Builder (how To Turn Your Expertise Into A Profitable Coaching Career),Not Available,Out of stock,Self Help,,,,$ 21.99,
The Self-sufficiency Garden (feed Your Family And Save Money: The #1 Sunday Times Bestseller),Not Available,Out of stock,Self Help,,,,$ 22.26,
The Perfection Trap (the Power Of Good Enough In A World That Always Wants More),Not Available,Out of stock,Self Help,,,,$ 15.84,
Slow Productivity (the Lost Art Of Accomplishment Without Burnout),Not Available,Out of stock,Self Help,,,,$ 22.26,
How To Adhd (an Insider's Guide To Working With Your Brain (not Against It)),Not Available,Out of stock,Self Help,,,,$ 26.20,
"Win Every Argument (the Art Of Debating, Persuading And Public Speaking)",Not Available,Out of stock,Self Help,,,,$ 15.84,
Paperback Therapy (therapist-approved Tools And Advice For Mastering Your Mental Health),Not Available,Out of stock,Self Help,,,,$ 17.02,
"10% Happier 10th Anniversary (how I Tamed The Voice In My Head, Reduced Stress Without Losing My Edge, And Found Self-help That Actually Works--a True Story)",Not Available,Out of stock,Self Help,,,,$ 17.99,
Women Who Work Too Much (break Free From Toxic Productivity And Find Your Joy),Not Available,Out of stock,Self Help,,,,$ 19.64,
The Only Constant (a Guide To Embracing Change And Leading An Authentic Life),Not Available,Out of stock,Self Help,,,,$ 21.60,
The Question Book (532 Opportunities For Self-reflection And Discovery),Not Available,Out of stock,Self Help,,,,$ 14.40,
12 Habits Of Valuable Employees (your Roadmap To An Amazing Career),Not Available,Out of stock,Self Help,,,,$ 20.85,
The Test Book (38 Tools To Lead You To Success),Not Available,Out of stock,Self Help,,,,$ 14.40,
"Digital Money Demystified (go From Cash To Crypto® Safely, Legally, And Confidently)",Not Available,Out of stock,Self Help,,,,$ 24.95,
"Motivation (how To Get It, How To Use It And How To Keep It)",Not Available,Out of stock,Self Help,,,,$ 17.28,
The Rise Of The Transcendence Leader-coach,Not Available,Out of stock,Self Help,,,,$ 21.10,
Languishing (how To Feel Alive Again In A World That Wears Us Down),Not Available,Out of stock,Self Help,,,,$ 22.26,
Real Self-care (a Transformative Programme For Redefining Wellness),Not Available,Out of stock,Self Help,,,,$ 14.40,
It's Not You (how To Identify And Heal From Narcissistic People),Not Available,Out of stock,Self Help,,,,$ 22.26,
Worthy (how To Believe You Are Enough And Transform Your Life),Not Available,Out of stock,Self Help,,,,$ 36.01,
Master Your Decisions (a Practical Guide To Make Better Decisions Faster And Stack The Odds In Your Favor),Not Available,Out of stock,Self Help,,,,$ 28.50,
It's Not You (identifying And Healing From Narcissistic People),Not Available,Out of stock,Self Help,,,,$ 21.00,
Thought Access,Not Available,Out of stock,Self Help,,,,$ 75.00,
Unlearning Shame (how Rejecting Self-blame Culture Gives Us Real Power),Not Available,Out of stock,Self Help,,,,$ 22.26,
Free Your Mind (the New World Of Manipulation And How To Resist It),Not Available,Out of stock,Self Help,,,,$ 13.09,
"The Cure For Burnout (build Better Habits, Find Balance And Reclaim Your Life)",Not Available,Out of stock,Self Help,,,,$ 19.64,
Essentials Of Emotional Intelligence,Not Available,Out of stock,Self Help,,,,$ 19.99,
Walking With The Seasons (the Wonder Of Being In Step With Nature),Not Available,Out of stock,Self Help,,,,$ 19.64,
"Brain Power (optimize Your Mental Skills And Performance, Improve Your Memory And Sharpen Your Mind)",Not Available,Out of stock,Self Help,,,,$ 21.95,
The Heart Is The Strongest Muscle (how To Get From Great To Unstoppable),Not Available,Out of stock,Self Help,,,,$ 26.20,
